scene;step;sensor;robot;measure_x;measure_y;robot_x;robot_y
0;0;0;0;167.01046647794453;42.754448778004054;144.27959797418555;71.23680492630001
0;0;1;0;159.7299284302402;98.70366234609146;144.27959797418555;71.23680492630001
0;0;2;1;399.01556242303894;171.3487551106241;420.89486821801967;166.8655149409983
0;0;3;1;424.03561593174095;191.3176112927524;420.89486821801967;166.8655149409983
0;0;4;1;402.59634611471273;138.69068658681704;420.89486821801967;166.8655149409983
0;0;5;1;435.7561745922739;179.4633982847721;420.89486821801967;166.8655149409983
0;0;6;2;54.19299068231175;131.2118335016787;72.63995579708373;148.7740017533297
0;0;7;2;94.27204571480992;162.38245698848618;72.63995579708373;148.7740017533297
0;0;8;2;59.862743337558165;166.76079996389203;72.63995579708373;148.7740017533297
0;0;9;3;128.05825502415448;194.63292578152718;145.52915319240705;173.80220777269216
0;0;10;3;121.50131408706568;176.83404519285145;145.52915319240705;173.80220777269216
0;0;11;3;157.34377488419145;152.91671920837905;145.52915319240705;173.80220777269216
0;0;12;4;34.82204511251761;112.62834162891822;56.87336932852074;93.65162725810418
0;0;13;4;39.95429509797109;74.73042750092478;56.87336932852074;93.65162725810418
0;0;14;4;83.69543901811876;74.32150376894712;56.87336932852074;93.65162725810418
0;1;0;0;128.90530656528045;63.00587670861489;105.45955286810215;80.88066815436619
0;1;1;0;120.7675949257443;112.47696934166134;105.45955286810215;80.88066815436619
0;1;2;1;436.676539365875;190.02971080787702;457.6751809757466;182.58838342749812
0;1;3;1;462.0510444231971;212.61865744799775;457.6751809757466;182.58838342749812
0;1;4;1;451.77648888924057;161.953277029239;457.6751809757466;182.58838342749812
0;1;5;1;469.81633720976185;196.61644702979353;457.6751809757466;182.58838342749812
0;1;6;2;39.44792772591974;167.31776856348085;52.667033740025644;183.43063725798706
0;1;7;2;77.08915700629635;194.07119608539003;52.667033740025644;183.43063725798706
0;1;8;2;35.96492819965065;203.8452194878631;52.667033740025644;183.43063725798706
0;1;9;3;152.60714962661183;155.0749059785867;168.3179959160726;140.92868275154416
0;1;10;3;139.83854748327454;148.35620392827553;168.3179959160726;140.92868275154416
0;1;11;3;177.28294199596678;119.43215614875217;168.3179959160726;140.92868275154416
0;1;12;4;6.202240969072865;76.539676168364;26.6870640107268;67.40687594930105
0;1;13;4;11.861853357169963;48.43640997486347;26.6870640107268;67.40687594930105
0;1;14;4;58.50928786500566;61.322831942025424;26.6870640107268;67.40687594930105
0;2;0;0;87.25177609153276;76.36752858074888;66.63950776201875;90.52453138243237
0;2;1;0;73.28712851751808;119.599740497243;66.63950776201875;90.52453138243237
0;2;2;1;470.27763238654774;204.30370523030473;494.4554937334736;198.31125191399792
0;2;3;1;494.1164460278551;225.64487639338466;494.4554937334736;198.31125191399792
0;2;4;1;480.3928182380355;178.81808323841946;494.4554937334736;198.31125191399792
0;2;5;1;509.1686612004534;216.54755507516865;494.4554937334736;198.31125191399792
0;2;6;2;29.978679529025168;204.1338837732196;32.69411168296753;218.0872727626444
0;2;7;2;55.719592733430105;220.4495984614826;32.69411168296753;218.0872727626444
0;2;8;2;24.71308606266183;233.65354660956757;32.69411168296753;218.0872727626444
0;2;9;3;176.5079534717999;125.7185627997664;191.10683863973813;108.05515773039616
0;2;10;3;175.34399815636544;114.38819468652378;191.10683863973813;108.05515773039616
0;2;11;3;207.6107377775969;87.28948346954576;191.10683863973813;108.05515773039616
0;2;12;4;-25.743082635115016;63.39161755024338;-3.499241307067125;41.16212464049786
0;2;13;4;-20.868266692153576;17.21169535005275;-3.499241307067125;41.16212464049786
0;2;14;4;26.929704137994268;34.681779550501275;-3.499241307067125;41.16212464049786
0;3;0;0;44.71938915683221;67.17745466975497;27.81946265593529;100.16839461049855
0;3;1;0;41.991372221861475;122.50959729470047;27.81946265593529;100.16839461049855
0;3;2;1;506.2550545322656;216.16781351947924;531.2358064912006;214.03412040049773
0;3;3;1;547.8937172763272;238.7250177732564;531.2358064912006;214.03412040049773
0;3;4;1;524.6432098991199;196.4766909461557;531.2358064912006;214.03412040049773
0;3;5;1;548.8736157538403;230.22907430074844;531.2358064912006;214.03412040049773
0;3;6;2;-2.259471849892571;225.79519818911623;12.721189625909421;252.74390826730175
0;3;7;2;30.673182391582014;263.19998983858;12.721189625909421;252.74390826730175
0;3;8;2;-4.640091793826376;261.4069565993071;12.721189625909421;252.74390826730175
0;3;9;3;190.39358157490008;94.60997560707209;213.89568136340367;75.18163270924816
0;3;10;3;183.70804188465084;78.9594935459133;213.89568136340367;75.18163270924816
0;3;11;3;222.082000573023;43.04268083271037;213.89568136340367;75.18163270924816
0;3;12;4;-62.3601984464467;33.66111269593599;-33.685546624861054;14.917373331694657
0;3;13;4;-50.93609753022357;-14.122687927964176;-33.685546624861054;14.917373331694657
0;3;14;4;-6.099293325781097;3.7770363517152177;-33.685546624861054;14.917373331694657
0;4;0;0;13.748229074635393;75.27970177102826;-11.000582450148146;109.81225783856473
0;4;1;0;5.043922028619162;130.38381407833865;-11.000582450148146;109.81225783856473
0;4;2;1;537.9542067755166;229.84367716814126;568.0161192489276;229.75698888699753
0;4;3;1;582.934315346563;257.63240518246215;568.0161192489276;229.75698888699753
0;4;4;1;556.195298085466;206.1508980390436;568.0161192489276;229.75698888699753
0;4;5;1;585.7299219815299;254.03873306868522;568.0161192489276;229.75698888699753
0;4;6;2;-15.782403510419142;273.80941888628035;-7.2517324311486755;287.40054377195935
0;4;7;2;6.4049402500107675;291.8603869398305;-7.2517324311486755;287.40054377195935
0;4;8;2;-23.03927710529425;291.9197151600566;-7.2517324311486755;287.40054377195935
0;4;9;3;214.69314940550487;63.20046624590467;236.6845240870692;42.308107688100165
0;4;10;3;216.67874427629187;30.935210797807123;236.6845240870692;42.308107688100165
0;4;11;3;247.16419034156408;17.201547009437935;236.6845240870692;42.308107688100165
0;4;12;4;-80.67371517350155;11.187026891195572;-63.87185194265499;-11.327377977108528
0;4;13;4;-81.9923645666959;-44.40847326597634;-63.87185194265499;-11.327377977108528
0;4;14;4;-32.65351769776474;-14.474604385876358;-63.87185194265499;-11.327377977108528
0;5;0;0;-27.91804944381124;101.4013102810878;-49.8206275562316;119.45612106663091
